ENSSHAG00000000001-null	-4215.499333	0.75225	0.86758	0.02575	0.02575	0.13242	1.0	1.0	0.0	0.02575	1.0	0.0	1.0	1.0
ENSSHAG00000000002-null	-3559.750509	50.63726	0.93453	0.0174	0.0174	0.06546	1.0	1.0	0.0	0.0174	1.0	0.0	1.0	1.0
ENSSHAG00000000011-null	-2950.620782	15.28763	0.9209	0.08781	0.08781	0.0791	1.0	1.0	0.0	0.08781	1.0	0.0	1.0	1.0
ENSSHAG00000000013-null	-10394.456673	0.67612	0.6577	0.02586	0.02586	0.26813	1.0	1.0	0.05269	0.02586	1.0	0.02148	1.0	1.0
ENSSHAG00000000016-null	-3003.405872	0.93623	0.92155	0.06799	0.06799	0.07845	1.0	1.0	0.0	0.06799	1.0	0.0	1.0	1.0
ENSSHAG00000000017-null	-7036.731095	1.05296	0.80102	0.04165	0.04165	0.19898	1.0	1.0	0.0	0.04165	1.0	0.0	1.0	1.0
ENSSHAG00000000020-null	-5101.395733	11.3837	1.0	0.11952	0.11952	0.0	1.0	1.0	0.0	0.11952	1.0	0.0	1.0	1.0
ENSSHAG00000000027-null	-3609.301557	22.78825	0.87722	0.03823	0.03823	0.12278	1.0	1.0	0.0	0.03823	1.0	0.0	1.0	1.0
ENSSHAG00000000028-null	-3829.95726	24.34863	0.73613	0.05042	0.05042	0.24215	1.0	1.0	0.01634	0.05042	1.0	0.00537	1.0	1.0
ENSSHAG00000000031-null	-3269.85431	52.31794	0.50652	0.03967	0.03967	0.32195	1.0	1.0	0.10487	0.03967	1.0	0.06666	1.0	1.0
ENSSHAG00000000034-null	-4272.733387	1.32965	0.86807	0.01484	0.01484	0.13193	1.0	1.0	0.0	0.01484	1.0	0.0	1.0	1.0
ENSSHAG00000000037-null	-3326.701471	28.82848	0.94743	0.03274	0.03274	0.04918	1.0	1.0	0.00322	0.03274	1.0	0.00017	1.0	1.0
ENSSHAG00000000038-null	-4562.640201	0.49601	0.84885	0.01518	0.01518	0.05328	1.0	1.0	0.09209	0.01518	1.0	0.00578	1.0	1.0
ENSSHAG00000000040-null	-4087.73128	35.29603	0.91306	0.03292	0.03292	0.08694	1.0	1.0	0.0	0.03292	1.0	0.0	1.0	1.0
ENSSHAG00000000050-null	-4042.487787	0.67232	0.90493	0.05045	0.05045	0.09507	1.0	1.0	0.0	0.05045	1.0	0.0	1.0	1.0
ENSSHAG00000000051-null	-2290.268976	0.38161	0.86613	0.09695	0.09695	0.13387	1.0	1.0	0.0	0.09695	1.0	0.0	1.0	1.0
ENSSHAG00000000052-null	-2697.433888	50.45489	0.92257	0.02088	0.02088	0.07743	1.0	1.0	0.0	0.02088	1.0	0.0	1.0	1.0
ENSSHAG00000000055-null	-1564.646887	2.50034	0.47979	0.05264	0.05264	0.52021	1.0	1.0	0.0	0.05264	1.0	0.0	1.0	1.0
ENSSHAG00000000063-null	-4868.744734	1.87741	0.86673	0.01131	0.01131	0.03081	1.0	1.0	0.09894	0.01131	1.0	0.00352	1.0	1.0
ENSSHAG00000000064-null	-7427.719274	23.6461	0.94858	0.03317	0.03317	0.05142	1.0	1.0	0.0	0.03317	1.0	0.0	1.0	1.0
ENSSHAG00000000065-null	-4036.59156	0.73522	0.628	0.0	0.0	0.29424	1.0	1.0	0.05295	0.0	1.0	0.02481	1.0	1.0
ENSSHAG00000000067-null	-1933.479777	1.01991	0.49411	0.01227	0.01227	0.50416	1.0	1.0	0.00085	0.01227	1.0	0.00087	1.0	1.0
ENSSHAG00000000069-null	-6195.285961	51.74994	0.50503	0.03056	0.03056	0.18757	1.0	1.0	0.22415	0.03056	1.0	0.08325	1.0	1.0
ENSSHAG00000000070-null	-6954.685865	51.77558	0.77482	0.01582	0.01582	0.07003	1.0	1.0	0.14229	0.01582	1.0	0.01286	1.0	1.0
ENSSHAG00000000072-null	-2222.63175	50.12445	0.91037	0.02221	0.02221	0.0	1.0	1.0	0.08963	0.02221	1.0	0.0	1.0	1.0
ENSSHAG00000000073-null	-2944.590539	2.01393	0.79785	0.06803	0.06803	0.16647	1.0	1.0	0.02951	0.06803	1.0	0.00616	1.0	1.0
ENSSHAG00000000076-null	-2771.860597	0.82976	0.92995	0.02967	0.02967	0.03155	1.0	1.0	0.03724	0.02967	1.0	0.00126	1.0	1.0
ENSSHAG00000000077-null	-3843.386154	36.56916	0.92039	0.02372	0.02372	0.0	1.0	1.0	0.07961	0.02372	1.0	0.0	1.0	1.0
ENSSHAG00000000079-null	-3287.675444	0.44223	0.85361	0.00116	0.00116	0.14639	1.0	1.0	0.0	0.00116	1.0	0.0	1.0	1.0
ENSSHAG00000000080-null	-2486.261991	0.52313	0.76615	0.01999	0.01999	0.17126	1.0	1.0	0.05116	0.01999	1.0	0.01144	1.0	1.0
ENSSHAG00000000081-null	-4584.77749	5.37475	0.52684	0.02921	0.02921	0.38413	1.0	1.0	0.05149	0.02921	1.0	0.03754	1.0	1.0
ENSSHAG00000000084-null	-4835.004269	1.04783	0.85416	0.11335	0.11335	0.14584	1.0	1.0	0.0	0.11335	1.0	0.0	1.0	1.0
ENSSHAG00000000085-null	-2330.11019	1.98688	0.79415	0.02108	0.02108	0.20585	1.0	1.0	0.0	0.02108	1.0	0.0	1.0	1.0
ENSSHAG00000000088-null	-5942.58145	50.37481	0.84925	0.01922	0.01922	0.07142	1.0	1.0	0.07318	0.01922	1.0	0.00615	1.0	1.0
ENSSHAG00000000089-null	-1966.073253	1.10331	0.91749	0.01762	0.01762	0.08251	1.0	1.0	0.0	0.01762	1.0	0.0	1.0	1.0
ENSSHAG00000000091-null	-2381.988703	1.42028	0.45013	0.14599	0.14599	0.54099	1.0	1.0	0.00403	0.14599	1.0	0.00485	1.0	1.0
ENSSHAG00000000092-null	-1255.812915	0.78275	0.97689	0.00445	0.00445	0.0231	1.0	1.0	1e-05	0.00445	1.0	0.0	1.0	1.0
ENSSHAG00000000095-null	-4389.544456	0.75988	0.80321	0.0	0.0	0.06642	1.0	1.0	0.12041	0.0	1.0	0.00996	1.0	1.0
ENSSHAG00000000096-null	-6960.974417	23.54213	0.78985	0.03914	0.03914	0.0	1.0	1.0	0.21015	0.03914	1.0	0.0	1.0	1.0
ENSSHAG00000000103-null	-2840.795033	51.8837	0.73028	0.02817	0.02817	0.26943	1.0	1.0	0.00021	0.02817	1.0	8e-05	1.0	1.0
ENSSHAG00000000106-null	-2530.664712	50.19216	0.9738	0.03371	0.03371	0.0	1.0	1.0	0.0262	0.03371	1.0	0.0	1.0	1.0
