gene	description	total	composite.snps.afchange.top.genes.200000bp	composite.snps.timeseries.top.genes.200000bp
ENSSHAG00000013564	2	dual specificity phosphatase 14 [Source:HGNC Symbol;Acc:HGNC:17007]	1	1
ENSSHAG00000015717	2	oxysterol binding protein-like 10 [Source:HGNC Symbol;Acc:HGNC:16395]	1	1
ENSSHAG00000003079	2	cylindromatosis (turban tumor syndrome) [Source:HGNC Symbol;Acc:HGNC:2584]	1	1
ENSSHAG00000015715	2	cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5951]	1	1
ENSSHAG00000006555	2	dipeptidyl-peptidase 9 [Source:HGNC Symbol;Acc:HGNC:18648]	1	1
ENSSHAG00000003074	2	cat eye syndrome chromosome region, candidate 5 [Source:HGNC Symbol;Acc:HGNC:1843]	1	1
ENSSHAG00000006557	2	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:24337]	1	1
ENSSHAG00000006556	2	inhibin, beta E [Source:HGNC Symbol;Acc:HGNC:24029]	1	1
ENSSHAG00000006551	2	CD22 molecule [Source:HGNC Symbol;Acc:HGNC:1643]	1	1
ENSSHAG00000006550	2	N-acylsphingosine amidohydrolase (acid ceramidase) 1 [Source:HGNC Symbol;Acc:HGNC:735]	1	1
ENSSHAG00000006553	1	crystallin, beta B2 [Source:HGNC Symbol;Acc:HGNC:2398]	0	1
ENSSHAG00000006552	2		1	1
ENSSHAG00000014219	2	phosphatidylinositol 4-kinase, catalytic, beta [Source:HGNC Symbol;Acc:HGNC:8984]	1	1
ENSSHAG00000014218	2	retinol dehydrogenase 10 (all-trans) [Source:HGNC Symbol;Acc:HGNC:19975]	1	1
ENSSHAG00000014215	2	glucosidase, beta (bile acid) 2 [Source:HGNC Symbol;Acc:HGNC:18986]	1	1
ENSSHAG00000014214	1		0	1
ENSSHAG00000014210	2	adaptor-related protein complex 4, epsilon 1 subunit [Source:HGNC Symbol;Acc:HGNC:573]	1	1
ENSSHAG00000014213	2	acyl-CoA thioesterase 12 [Source:HGNC Symbol;Acc:HGNC:24436]	1	1
ENSSHAG00000014212	2	elastase, neutrophil expressed [Source:HGNC Symbol;Acc:HGNC:3309]	1	1
ENSSHAG00000013085	2	NEL-like 2 (chicken) [Source:HGNC Symbol;Acc:HGNC:7751]	1	1
ENSSHAG00000013084	2	stimulated by retinoic acid 8 [Source:HGNC Symbol;Acc:HGNC:30653]	1	1
ENSSHAG00000013087	2	cyclin C [Source:HGNC Symbol;Acc:HGNC:1581]	1	1
ENSSHAG00000013081	2	methenyltetrahydrofolate synthetase domain containing [Source:HGNC Symbol;Acc:HGNC:25778]	1	1
ENSSHAG00000013080	2	myosin light chain kinase 2 [Source:HGNC Symbol;Acc:HGNC:16243]	1	1
ENSSHAG00000000788	2	transmembrane protein 130 [Source:HGNC Symbol;Acc:HGNC:25429]	1	1
ENSSHAG00000013082	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WIU3]	1	1
ENSSHAG00000000787	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VCH6]	1	1
ENSSHAG00000000784	1	synovial apoptosis inhibitor 1, synoviolin [Source:HGNC Symbol;Acc:HGNC:20738]	0	1
ENSSHAG00000013089	2	ubiquitin specific peptidase 42 [Source:HGNC Symbol;Acc:HGNC:20068]	1	1
ENSSHAG00000013088	2	kinase D-interacting substrate, 220kDa [Source:HGNC Symbol;Acc:HGNC:29508]	1	1
ENSSHAG00000000780	2	MKL/myocardin-like 2 [Source:HGNC Symbol;Acc:HGNC:29819]	1	1
ENSSHAG00000003783	2	CCCTC-binding factor (zinc finger protein) [Source:HGNC Symbol;Acc:HGNC:13723]	1	1
ENSSHAG00000003782	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VM89]	1	1
ENSSHAG00000011620	2	ubiquinol-cytochrome c reductase core protein I [Source:HGNC Symbol;Acc:HGNC:12585]	1	1
ENSSHAG00000003786	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VM94]	1	1
ENSSHAG00000003785	2	aspartoacylase [Source:HGNC Symbol;Acc:HGNC:756]	1	1
ENSSHAG00000003788	2	septin 7 [Source:HGNC Symbol;Acc:HGNC:1717]	1	1
ENSSHAG00000016406	1	phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]	0	1
ENSSHAG00000005466	2	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C [Source:HGNC Symbol;Acc:HGNC:10725]	1	1
ENSSHAG00000013695	2	estrogen-related receptor beta [Source:HGNC Symbol;Acc:HGNC:3473]	1	1
ENSSHAG00000003078	2	N-acetyltransferase 8-like (GCN5-related, putative) [Source:HGNC Symbol;Acc:HGNC:26742]	1	1
ENSSHAG00000008066	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3W1M0]	1	1
ENSSHAG00000008065	2	nuclear autoantigenic sperm protein (histone-binding) [Source:HGNC Symbol;Acc:HGNC:7644]	1	1
ENSSHAG00000016405	1	lectin, galactoside-binding, soluble, 2 [Source:HGNC Symbol;Acc:HGNC:6562]	0	1
ENSSHAG00000008063	1	nuclear factor, erythroid 2-like 1 [Source:HGNC Symbol;Acc:HGNC:7781]	0	1
ENSSHAG00000008061	2	solute carrier family 35 (UDP-GlcNAc/UDP-glucose transporter), member D2 [Source:HGNC Symbol;Acc:HGNC:20799]	1	1
ENSSHAG00000008060	2	SH2B adaptor protein 3 [Source:HGNC Symbol;Acc:HGNC:29605]	1	1
ENSSHAG00000008069	2	dynein, light chain, Tctex-type 3 [Source:HGNC Symbol;Acc:HGNC:11694]	1	1
ENSSHAG00000007202	2	C1q and tumor necrosis factor related protein 5 [Source:HGNC Symbol;Acc:HGNC:14344]	1	1
ENSSHAG00000007200	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VYQ2]	1	1
