gene	description	total	composite.snps.afchange.top.genes.100000bp	composite.snps.timeseries.top.genes.100000bp
ENSSHAG00000016825	1	ancient ubiquitous protein 1 [Source:HGNC Symbol;Acc:HGNC:891]	0	1
ENSSHAG00000011127	1	calcium and integrin binding 1 (calmyrin) [Source:HGNC Symbol;Acc:HGNC:16920]	1	0
ENSSHAG00000002818	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VJ36]	0	1
ENSSHAG00000014539	1	annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]	0	1
ENSSHAG00000006551	1	CD22 molecule [Source:HGNC Symbol;Acc:HGNC:1643]	0	1
ENSSHAG00000006552	1		0	1
ENSSHAG00000018882	1	leucine rich repeat containing 8 family, member A [Source:HGNC Symbol;Acc:HGNC:19027]	0	1
ENSSHAG00000006256	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VVJ4]	0	1
ENSSHAG00000018887	1	naked cuticle homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:17045]	1	0
ENSSHAG00000012497	1	chromosome 8 open reading frame 88 [Source:HGNC Symbol;Acc:HGNC:44672]	0	1
ENSSHAG00000007156	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VYK6]	1	0
ENSSHAG00000005358	1	kallikrein-related peptidase 13 [Source:HGNC Symbol;Acc:HGNC:6361]	0	1
ENSSHAG00000010202	1	acyl-CoA thioesterase 9 [Source:HGNC Symbol;Acc:HGNC:17152]	1	0
ENSSHAG00000008827	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3W466]	0	1
ENSSHAG00000004025	1		0	1
ENSSHAG00000017525	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WZ10]	0	1
ENSSHAG00000013084	1	stimulated by retinoic acid 8 [Source:HGNC Symbol;Acc:HGNC:30653]	0	1
ENSSHAG00000000788	1	transmembrane protein 130 [Source:HGNC Symbol;Acc:HGNC:25429]	0	1
ENSSHAG00000007981	1	wingless-type MMTV integration site family, member 5A [Source:HGNC Symbol;Acc:HGNC:12784]	1	0
ENSSHAG00000003777	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VM83]	0	1
ENSSHAG00000013855	1	zinc finger protein 148 [Source:HGNC Symbol;Acc:HGNC:12933]	1	0
ENSSHAG00000014822	1	ADAM metallopeptidase with thrombospondin type 1 motif, 9 [Source:HGNC Symbol;Acc:HGNC:13202]	1	0
ENSSHAG00000018546	1	nuclear apoptosis inducing factor 1 [Source:HGNC Symbol;Acc:HGNC:25446]	1	0
ENSSHAG00000005927	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VUG8]	0	1
ENSSHAG00000010292	1	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 3 [Source:HGNC Symbol;Acc:HGNC:14338]	0	1
ENSSHAG00000004984	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VRA0]	0	1
ENSSHAG00000017634	1	leucine zipper-EF-hand containing transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:14648]	0	1
ENSSHAG00000004981	1	succinate-CoA ligase, alpha subunit [Source:HGNC Symbol;Acc:HGNC:11449]	0	1
ENSSHAG00000008832	1	LY6/PLAUR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28431]	0	1
ENSSHAG00000005103	1	BCL2-antagonist/killer 1 [Source:HGNC Symbol;Acc:HGNC:949]	0	1
ENSSHAG00000011631	1	isocitrate dehydrogenase 2 (NADP+), mitochondrial [Source:HGNC Symbol;Acc:HGNC:5383]	1	0
ENSSHAG00000007384	2	phospholipase D1, phosphatidylcholine-specific [Source:HGNC Symbol;Acc:HGNC:9067]	1	1
ENSSHAG00000001957	1	PHD finger protein 1 [Source:HGNC Symbol;Acc:HGNC:8919]	0	1
ENSSHAG00000007202	1	C1q and tumor necrosis factor related protein 5 [Source:HGNC Symbol;Acc:HGNC:14344]	0	1
ENSSHAG00000016195	1	acyl-CoA oxidase 3, pristanoyl [Source:HGNC Symbol;Acc:HGNC:121]	1	0
ENSSHAG00000009491	1	follicle stimulating hormone, beta polypeptide [Source:HGNC Symbol;Acc:HGNC:3964]	0	1
ENSSHAG00000016192	1	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:21614]	1	0
ENSSHAG00000013531	1	solute carrier family 12, member 8 [Source:HGNC Symbol;Acc:HGNC:15595]	1	0
ENSSHAG00000000552	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VBR6]	0	1
ENSSHAG00000001412	1	gem (nuclear organelle) associated protein 8 [Source:HGNC Symbol;Acc:HGNC:26044]	1	0
ENSSHAG00000017023	1	clathrin interactor 1 [Source:HGNC Symbol;Acc:HGNC:23186]	1	0
ENSSHAG00000009181	1	prenylcysteine oxidase 1 like [Source:HGNC Symbol;Acc:HGNC:28477]	0	1
ENSSHAG00000013030	1	Ewing tumor-associated antigen 1 [Source:HGNC Symbol;Acc:HGNC:24648]	0	1
ENSSHAG00000002077	1	hydroxysteroid (17-beta) dehydrogenase 11 [Source:HGNC Symbol;Acc:HGNC:22960]	0	1
ENSSHAG00000002178	1	scavenger receptor class B, member 1 [Source:HGNC Symbol;Acc:HGNC:1664]	1	0
ENSSHAG00000012037	1	N-terminal EF-hand calcium binding protein 1 [Source:HGNC Symbol;Acc:HGNC:20983]	0	1
ENSSHAG00000015801	1	SNF2 histone linker PHD RING helicase, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:19336]	1	0
ENSSHAG00000011318	1	transmembrane protein 173 [Source:HGNC Symbol;Acc:HGNC:27962]	1	0
ENSSHAG00000006182	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VVA9]	0	1
ENSSHAG00000003498	1	transient receptor potential cation channel, subfamily M, member 5 [Source:HGNC Symbol;Acc:HGNC:14323]	0	1
ENSSHAG00000011912	2	kelch domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20704]	1	1
ENSSHAG00000018851	1	endonuclease G [Source:HGNC Symbol;Acc:HGNC:3346]	0	1
ENSSHAG00000001121	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VDK2]	0	1
ENSSHAG00000001126	1	leucine carboxyl methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:17557]	1	0
ENSSHAG00000010570	1	RCC1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30457]	1	0
ENSSHAG00000014797	1	son of sevenless homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:11187]	0	1
ENSSHAG00000014793	1	perilipin 2 [Source:HGNC Symbol;Acc:HGNC:248]	1	0
ENSSHAG00000004579	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VPX8]	1	0
ENSSHAG00000010978	1	inositol polyphosphate-5-phosphatase F [Source:HGNC Symbol;Acc:HGNC:17054]	1	0
ENSSHAG00000009874	1	cAMP responsive element binding protein 3-like 3 [Source:HGNC Symbol;Acc:HGNC:18855]	1	0
ENSSHAG00000012347	1	contactin 5 [Source:HGNC Symbol;Acc:HGNC:2175]	0	1
ENSSHAG00000003516	1	EMI domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18036]	0	1
ENSSHAG00000018841	1	TBC1 domain family, member 13 [Source:HGNC Symbol;Acc:HGNC:25571]	0	1
ENSSHAG00000012593	1	adenylate cyclase 9 [Source:HGNC Symbol;Acc:HGNC:240]	0	1
ENSSHAG00000014310	1	cyclin-dependent kinase-like 4 [Source:HGNC Symbol;Acc:HGNC:19287]	0	1
ENSSHAG00000010083	1	deafness, autosomal recessive 59 [Source:HGNC Symbol;Acc:HGNC:29502]	0	1
ENSSHAG00000004670	1	basal cell adhesion molecule (Lutheran blood group) [Source:HGNC Symbol;Acc:HGNC:6722]	0	1
ENSSHAG00000012814	1	phosphoenolpyruvate carboxykinase 1 (soluble) [Source:HGNC Symbol;Acc:HGNC:8724]	0	1
ENSSHAG00000004770	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VQK6]	0	1
ENSSHAG00000009251	1	mitogen-activated protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6842]	1	0
